"0",""
"0","#given GRange data"
"0","gr <- GRanges(seqname=c(""chr1"", ""chr1"", ""chr2"", ""chr3"",""chr1"", ""chr6"", ""chr2"", ""chr3"",""chr1"", ""chr4"", ""chr2"", ""chr4"",""chr10"", ""chr1"", ""chr2"", ""chr6"",""chr1"", ""chr"", ""chr6"", ""chr3""),"
"0","ranges=IRanges(start=c(2, 3, 5, 7, 9, 12, 13, 16, 18, 22, 23, 26, 30, 36, 38, 41, 46, 56, 57, 59), end=c(19,19,18,26,13,24,21,31,35,25,26,44,33,39,54,50,57,60,74,74)),"
"0","strand=c(""+"", ""-"", ""-"", ""+"",""+"", ""-"", ""-"", ""+"",""+"", ""-"", ""-"", ""+"",""+"", ""-"", ""-"", ""+"",""+"", ""-"", ""-"", ""+""),identifier=letters[1:20])"
"0",""
"0","#finding which width is the largest in gr"
"0","max(width(gr))"
"1","[1]"
"1"," 20"
"1","
"
"0","#because max is largest, there will be only one item that is >=max, so I can find the other answers using this"
"0",""
"0","gr[width(gr)>=max(width(gr))]"
"1",""
"1",""
"1","GRanges object with 1 range and 1 metadata column"
"1",""
"1",":
"
"1","     "
"1"," seqnames"
"1","    ranges"
"1"," strand"
"1"," |"
"1","  identifier"
"1","
     "
"1","    <Rle>"
"1"," <IRanges>"
"1","  <Rle>"
"1"," |"
"1"," <character>"
"1","
  [1]"
"1","     chr3"
"1","      7-26"
"1","      +"
"1"," |"
"1","           d"
"1","
"
"1",""
"1",""
"1","  -------
"
"1",""
"1",""
"1","  seqinfo: "
"1",""
"1","7 sequences from an unspecified genome; no seqlengths"
"1",""
"1","
"
"0","#this shows chr3, range 7-26, +, d"
"0",""
"0","#Therefore the answer is that it is 20 bp width, chr3, with identifier 'd'"
"0",""
